"rxns","metabolite","n0","n5","c0","c5","log2FC_0","log2FC_5","label_flag"
"HMR_9280","cholate",0,0,0,0,0,0,FALSE
"HMR_9281","glycocholate",0,0,0,0,0,0,FALSE
"HMR_9282","taurocholate",0,0,0,0,0,0,FALSE
"HMR_9283","glycochenodeoxycholate",0,0,0,0,0,0,FALSE
"HMR_9284","taurochenodeoxycholate",0,0,0,0,0,0,FALSE
"HMR_9285","cholesterol",0,0,0,0,0,0,FALSE
"HMR_9286","citrate",0,0,0,0,0,0,FALSE
"HMR_9287","CMP",0,0,0,0,0,0,FALSE
"HMR_9289","coumarin",0,0,0,0,0,0,FALSE
"HMR_9290","creatine",0,0,0,0,0,0,FALSE
"HMR_9291","cytosine",0,0,0,0,0,0,FALSE
"HMR_9292","L-carnitine",0,0,0,0,0,0,FALSE
"HMR_9293","cortisol",0,0,0,0,0,0,FALSE
"HMR_9295","cytidine",0,0,0,0,0,0,FALSE
"HMR_9296","deoxycytidine",0,0,0,0,0,0,FALSE
"HMR_9297","deoxyadenosine",0,0,0,0,0,0,FALSE
"HMR_9299","debrisoquin",0,0,0,0,0,0,FALSE
"HMR_9300","deoxyguanosine",0,0,0,0,0,0,FALSE
"HMR_9301","dehydroascorbic acid",0,0,0,0,0,0,FALSE
"HMR_9302","dehydroepiandrosterone sulfate",0,0,0,0,0,0,FALSE
"HMR_9303","dihydrofolate",0,0,0,0,0,0,FALSE
"HMR_9304","digalactosylceramidesulfate",0,0,0,0,0,0,FALSE
"HMR_9305","deoxyinosine",0,0,0,0,0,0,FALSE
"HMR_9310","deoxyuridine",0,0,0,0,0,0,FALSE
"HMR_9312","ebastine",0,0,0,0,0,0,FALSE
"HMR_9315","16-glucuronide-estriol",0,0,0,0,0,0,FALSE
"HMR_9316","estrone-glucuronide",0,0,0,0,0,0,FALSE
"HMR_9318","formate",0,0.00031047,0,0.024110627,0,6.27449198069895,TRUE
"HMR_9330","6-deoxy-L-galactose",0,0,0,0,0,0,FALSE
"HMR_9338","(5-L-glutamyl)-L-amino acid",0,0,0,0,0,0,FALSE
"HMR_9340","GDP",0,0,0,0,0,0,FALSE
"HMR_9341","betaine",0.019746462,0.020199705,0,0,-14.2693796254822,-14.3021180231332,TRUE
"HMR_9343","GMP",0,0,0,0,0,0,FALSE
"HMR_9346","GQ1b",0,0,0,0,0,0,FALSE
"HMR_9348","guanosine",0,0,0,0,0,0,FALSE
"HMR_9350","GSSG",0,0,0,0,0,0,FALSE
"HMR_9352","GTP",0,0,0,0,0,0,FALSE
"HMR_9353","guanine",0,0,0,0,0,0,FALSE
"HMR_9354","H2O2",0,0,0,0,0,0,FALSE
"HMR_9359","IDP",0,0,0,0,0,0,FALSE
"HMR_9360","IMP",0,0,0,0,0,0,FALSE
"HMR_9362","inosine",0,0,0,0,0,0,FALSE
"HMR_9364","leukotriene A4",0.123360027,0.00295466,0,0,-16.9125271555161,-11.5292646053891,TRUE
"HMR_9365","leukotriene B4",0,0,0.134602847,0,17.0383601174349,0,TRUE
"HMR_9366","leukotriene C4",0,0,0,0,0,0,FALSE
"HMR_9367","LTD4",0,0,0,0,0,0,FALSE
"HMR_9368","leukotriene E4",0,0,0,0,0,0,FALSE
"HMR_9369","limonene",0,0,0,0,0,0,FALSE
"HMR_9370","maltose",0,0,0,0,0,0,FALSE
"HMR_9371","maltotriose",0,0,0,0,0,0,FALSE
"HMR_9378","nicotinamide",0,0,0,0,0,0,FALSE
"HMR_9379","nifedipine",0,0,0,0,0,0,FALSE
"HMR_9383","O2-",0,0,0,0,0,0,FALSE
"HMR_9386","hydroxide",0,1.095478382,0,0,0,-20.0631309009674,TRUE
"HMR_9387","omeprazole",0,0,0,0,0,0,FALSE
"HMR_9394","D-proline",0,0,0,0,0,0,FALSE
"HMR_9395","prostaglandin D2",0,0,0,0,0,0,FALSE
"HMR_9396","prostaglandin E1",0,0,0,0,0,0,FALSE
"HMR_9397","prostaglandin E2",0,0,0,0,0,0,FALSE
"HMR_9398","prostaglandin F2alpha",0,0,0,0.212634288,0,17.698021514382,TRUE
"HMR_9399","pyridoxamine",0,0,0,0,0,0,FALSE
"HMR_9411","sphingosine-1-phosphate",0,0,0,0,0,0,FALSE
"HMR_9412","serotonin",0.0237197,0,0,0,-14.5338589641226,0,TRUE
"HMR_9415","succinate",0,0,0,0,0,0,FALSE
"HMR_9416","sucrose",0,0,0,0,0,0,FALSE
"HMR_9417","D-tagatose",0,0,0,0,0,0,FALSE
"HMR_9419","paclitaxel",0,0,0,0,0,0,FALSE
"HMR_9421","THF",0,0,0,0,0,0,FALSE
"HMR_9422","thymine",0.473135067,0.473135067,0.80640043,0.80640043,0.769243055996815,0.769243055996815,FALSE
"HMR_9424","thyroxine",0,0,0,0,0,0,FALSE
"HMR_9425","tolbutamide",0,0,0,0,0,0,FALSE
"HMR_9426","trehalose",0,0,0,0,0,0,FALSE
"HMR_9427","triiodothyronine",0,0,0,0,0,0,FALSE
"HMR_9430","testosterone glucuronide",0,0,0,0,0,0,FALSE
"HMR_9435","UDP",0,0,0,0,0,0,FALSE
"HMR_9436","UMP",0,0,0,0,0,0,FALSE
"HMR_9437","uracil",0.473135067,0.473135067,0.80640043,0.80640043,0.769243055996815,0.769243055996815,FALSE
"HMR_9438","urea",0,1.045990676,1.044602771,1.1439626,19.9945243862584,0.129169776787052,TRUE
"HMR_9439","uridine",0,0,0,0,0,0,FALSE
"HMR_9440","UTP",0,0,0,0,0,0,FALSE
"HMR_9441","vitamin D2",0,0,0,0,0,0,FALSE
"HMR_9447","galactosylglycerol",0,0,0,0,0,0,FALSE
"HMR_9448","maltodecaose",0,0,0,0,0,0,FALSE
"HMR_9450","XTP",0,0,0,0,0,0,FALSE
"HMR_9453","etiocholanolone",0,0,0,0,0,0,FALSE
"HMR_9454","D-ornithine",0,0,0,0,0,0,FALSE
"HMR_9455","D-arginine",0,0,0,0,0,0,FALSE
"HMR_9456","ADP-glucose",0,0,0,0,0,0,FALSE
"HMR_9457","ADP-mannose",0,0,0,0,0,0,FALSE
"HMR_9458","D-ribulose",0,0,0,0,0,0,FALSE
"HMR_9460","creatinine",0,0,0,0,0,0,FALSE
"HMR_9682","4-nitrophenyl-phosphate",0,0,0,0,0,0,FALSE
"HMR_9683","5-L-gamma-glutamyl",0,0,0,0,0,0,FALSE
"HMR_9685","D-glucitol",2.684420247,0,0,0.874480448,-21.3561796504271,19.7380682523375,TRUE
"HMR_9690","orotate",0,0,0,0,0,0,FALSE
"HMR_9692","spermine dialdehyde",0,0,0,0,0,0,FALSE
"HMR_9701","coproporphyrin I",0,0,0,0,0,0,FALSE
"HMR_9702","coproporphyrin III",0,0,0,0,0,0,FALSE
"HMR_9715","spermine",0,0,0,0,0,0,FALSE
"HMR_9730","albumin",0,0,0,0,0,0,FALSE
"EX_adrn[e]","adrenic acid",0.013011256,0.002165526,0.014055475,0.022385107,0.111363738195946,3.36914820643607,FALSE
"EX_arach[e]","eicosanoate",0.008421385,0.001402951,0.009097966,0.014487016,0.111473782997535,3.36729555524924,FALSE
"EX_arachd[e]","arachidonate",0,0,0,0,0,0,FALSE
"EX_atp[e]","ATP",0,0,0,0,0,0,FALSE
"EX_clpnd[e]","DPA",0.014518115,0.002402634,0.015675888,0.024992761,0.110685682439044,3.37827887145871,FALSE
"EX_crvnc[e]","DHA",0,0.00576291,0.037850727,0.060429633,15.2080715047934,3.39016034010473,TRUE
"EX_dcsptn1[e]","(4Z,7Z,10Z,13Z,16Z)-DPA",0.000745412,0,0,0,-9.54382837023198,0,TRUE
"EX_dlnlcg[e]","dihomo-gamma-linolenate",0,0,0,0,0,0,FALSE
"EX_eicostet[e]","omega-3-arachidonic acid",0,0,0.000741744,0,9.53672123557058,0,TRUE
"EX_elaid[e]","elaidate",0.000765775,0.000127685,0,0,-9.58265948979072,-7.00770008725868,TRUE
"EX_glygn2[e]","glycogenin G4G7",0,0,0,0,0,0,FALSE
"EX_glygn4[e]","Glycogen, Structure 4 (Glycogenin-1,6-{2",0,0,0,0,0,0,FALSE
"EX_hdca[e]","palmitate",2.258271541,0,2.438687291,3.565592732,0.110885757935808,21.7657108992587,TRUE
"EX_hdcea[e]","palmitolate",0.525321898,0,0.567404919,0.903480665,0.111176729757474,19.7851357981808,TRUE
"EX_hexc[e]","cerotic acid",0.003826733,0.00063684,0.004133815,0,0.111332582275598,-9.31705076399099,TRUE
"EX_hista[e]","histamine",0.094967334,0.07149524,0,0.094823028,-16.5351589246061,0.407385305857161,TRUE
"EX_hpdca[e]","margaric acid",0.042879133,0.007145613,0.046323145,0.073759263,0.111454968257846,3.36751222849474,FALSE
"EX_lgnc[e]","lignocerate",0.009187161,0.001530637,0.009925325,0,0.111483554373759,-10.5808587017986,TRUE
