"rxns","metabolite","log2FC_muscle","log2FC_brain","label_flag"
"EX_pcholeic_hs[e]","1-Eicosadienoylglycerophosphocholine (Delta 11,14)",0,0,FALSE
"EX_pcholet_hs[e]","1-Eicosatrienoylglycerophosphocholine (Delta 11, 14, 17)",0,0,FALSE
"EX_pcholhep_hs[e]","1-Heptadecanoylglycerophosphocholine",0,0,FALSE
"EX_pchollinl_hs[e]","1-Linoleoylglycerophosphocholine (Delta 9,12)",0,0,FALSE
"EX_pcholmyr_hs[e]","1-Myristoylglycerophosphocholine",0,0,FALSE
"EX_pcholn15_hs[e]","1-Pentadecanoylglycerophosphocholine, Sn1-Lpc (15:0)",0,0,FALSE
"EX_pcholn183_hs[e]","1-Octadeca-Trienoylglycerophosphocholine, Sn1-Lpc (18:3, Delta 9, 12, 15)",0,0,FALSE
"EX_pcholn1836_hs[e]","1-Octadeca-Trienoylglycerophosphocholine, Sn1-Lpc (18:3, Delta 6, 9, 12)",0,0,FALSE
"EX_pcholn19_hs[e]","1-Nonadecanoylglycerophosphocholine, Sn1-Lpc (19:0)",0,0,FALSE
"EX_pcholn201_hs[e]","1-Eicosenoylglycerophosphocholine (Delta 11) ,Sn1-Lpc (20:1)",0,0,FALSE
"EX_pcholn203_hs[e]","1-Dihomo-Linolenoylglycerophosphocholine (20:3, Delta 8, 11, 14), Lysopc A C20:3",0,0,FALSE
"EX_pcholn204_hs[e]","1-Eicosatetraenoylglycerophosphocholine (Delta 8, 11, 14, 17), Sn1-Lpc (20:4)",0,0,FALSE
"EX_pcholn205_hs[e]","1-Eicosapentenoylglycerophosphocholine (Delta 5, 8, 11, 14, 17), Sn1-Lpc (20:5)",0,0,FALSE
"EX_pcholn224_hs[e]","1-Docosatetraenoylglycerophosphocholine (Delta 7, 10, 13, 16), Sn1-Lpc (22:4)",0,0,FALSE
"EX_pcholn225_hs[e]","1-Docosapentenoylglycerophosphocholine (Delta 7, 10, 13, 16, 19), Sn1-Lpc (22:5)-W3",0,0,FALSE
"EX_pcholn2254_hs[e]","1-Docosapentenoylglycerophosphocholine (Delta 4, 7, 10, 13, 16), Sn1-Lpc (22:5)-W6",0,0,FALSE
"EX_pcholn226_hs[e]","1-Docosahexenoylglycerophosphocholine (Delta 4, 7, 10, 13, 16, 19), Sn1-Lpc (22:6)",0,0,FALSE
"EX_pcholn24_hs[e]","1-Lignocericylglycerophosphocholine (24:0), Lysopc A C24",0,0,FALSE
"EX_pcholole_hs[e]","1-Oleoylglycerophosphocholine (Delta 9)",0,0,FALSE
"EX_pcholpalm_hs[e]","1-Palmitoylglycerophosphocholine",0,0,FALSE
"EX_pcholpalme_hs[e]","1-Palmitoleoylglycerophosphocholine (Delta 9)",0,0,FALSE
"EX_pcholste_hs[e]","1-Stearoylglycerophosphocholine",0,0,FALSE
"EX_pcollg5hlys[e]","L-hydroxylysine",0,0,FALSE
"EX_pe12_hs[e]","1-Didecanoylglycerophosphoethanolamine (C12:0 Pe)",0,0,FALSE
"EX_pe13_hs[e]","1-Tridecanoylglycerophosphoethanolamine (C13:0 Pe)",0,0,FALSE
"EX_pe14_hs[e]","1-Myristoylglycerophosphoethanolamine (C14:0 Pe)",0,0,FALSE
"EX_pe15_hs[e]","1-Pentadecanoylglycerophosphoethanolamine (C15:0 Pe)",0,0,FALSE
"EX_pe161_hs[e]","1-Hexadecenoylglycerophosphoethanolamine (C16:1 Pe, Delta 9)",0,0,FALSE
"EX_pe17_hs[e]","1-Heptadecanoylglycerophosphoethanolamine (C17:0 Pe)",0,0,FALSE
"EX_pe203_hs[e]","1-Eicosatrienoylglycerophosphoethanolamine (Delta 11, 14, 17), Lpe (20:3)",0,0,FALSE
"EX_pe226_hs[e]","1-Docosahexenoylglyceroethanolamine (Delta 4, 7, 10, 13, 16, 19), Lpe (22:6)",0,0,FALSE
"EX_pe2linl_hs[e]","2-Linoleoylglycerophosphoethanolamine",0,0,FALSE
"EX_pear_hs[e]","1-Arachidonoyl-Sn-Glycero-3-Phosphoethanolamine",0,0,FALSE
"EX_pedh203_hs[e]","1-Dihomo-Linolenoylglycerophosphoethanolamine (20:3, Delta 8, 11, 14)",0,0,FALSE
"EX_pelinl_hs[e]","1-Linoleoylglycerophosphoethanolamine (Delta 9,12)",0,0,FALSE
"EX_peole_hs[e]","1-Oleoylglycerophosphoethanolamine (Delta 9)",0,0,FALSE
"EX_pepalm_hs[e]","1-Palmitoylglycerophosphoethanolamine",0,0,FALSE
"EX_peste_hs[e]","1-Stearoylglycerophosphoethanolamine",0,0,FALSE
"EX_sphmyln180241_hs[e]","Sm (D18:0/24:1), Sphingomyelin",0,0,FALSE
"EX_sphmyln18114_hs[e]","Sm (D18:1/14:0), Sphingomyelin",0,0,FALSE
"EX_sphmyln18115_hs[e]","Sm (D18:1/15:0), Sphingomyelin",0,0,FALSE
"EX_sphmyln18116_hs[e]","Sm (D18:1/16:0), Sphingomyelin",0,0,FALSE
"EX_sphmyln181161_hs[e]","Sm (D18:1/16:1), Sphingomyelin",0,0,FALSE
"EX_sphmyln18117_hs[e]","Sm (D18:1/17:0), Sphingomyelin",0,0,FALSE
"EX_sphmyln18118_hs[e]","Sm (D18:1/18:0), Sphingomyelin",0,0,FALSE
"EX_sphmyln181181_hs[e]","Sm (D18:1/18:1), Sphingomyelin",0,0,FALSE
"EX_sphmyln18120_hs[e]","Sm (D18:1/20:0), Sphingomyelin",0,0,FALSE
"EX_sphmyln181201_hs[e]","Sm (D18:1/20:1), Sphingomyelin",0,0,FALSE
"EX_sphmyln18121_hs[e]","Sm (D18:1/21:0), Sphingomyelin",0,0,FALSE
"EX_sphmyln18122_hs[e]","Sm (D18:1/22:0), Sphingomyelin",0,0,FALSE
"EX_sphmyln181221_hs[e]","Sm (D18:1/22:1), Sphingomyelin",0,0,FALSE
"EX_sphmyln18123_hs[e]","Sm (D18:1/23:0), Sphingomyelin",0,0,FALSE
"EX_sphmyln1824_hs[e]","Sm (D18:0/24:0), Sphingomyelin",0,0,FALSE
"EX_sphmyln1825_hs[e]","Sm (D18:0/25:0), Sphingomyelin",0,0,FALSE
"EX_xolest181_hs[e]","1-Vaccenoyl-Cholesterol, Cholesterol-Ester (18:1, Delta 11)",0,0,FALSE
"EX_xolest182_hs[e]","1-Linoleoyl-Cholesterol, Cholesterol-Ester (18:2, Delta 9, 12)",0,0,FALSE
"EX_xolest183_hs[e]","1-Gamma-Linolenoyl-Cholesterol, Cholesterol-Ester (18:3, Delta 6, 9, 12)",0,0,FALSE
"EX_xolest204_hs[e]","Cholesteryl Arachidonate, Cholesterol-Ester (20:4, Delta 5,8,11,14)",0,0,FALSE
"EX_xolest205_hs[e]","1-Timnodnoyl-Cholesterol, Cholesterol-Ester (20:5, Delta 5,8,11,14,17)",0,0,FALSE
"EX_xolest226_hs[e]","Cholesteryl Docosahexanoate, Cholesterol-Ester (22:6, Delta 4,7,10,13,16,19)",0,0,FALSE
