,msp_0005,msp_0166,msp_0313,msp_0380,msp_0570,msp_0573,msp_0627,msp_0881,msp_0884,msp_1219,msp_1782,msp_1786,msp_1787,msp_1788,msp_1793,msp_1799
GutSample72,0,0.000821057,0.003239209,4.37E-05,1.94E-05,0.000109957,0,0,0.001358989,0,0,0,0,0,0,0
GutSample73,4.57E-05,0.000844647,0,0,0,0.001109063,0,0,0,0,0,0,0,0,0,0
GutSample74,0,1.59E-05,0.00088678,0.000636375,0,0.000129081,0,0.000848077,0.000143816,2.02E-05,0,0,0,0,0,0
GutSample75,9.25E-06,6.06E-05,0.207030389,0,7.78E-06,0,0,0,0.000151452,0.007172315,0,0,0,0,0,0
GutSample76,0.000158124,0.002339549,0.000266282,0.000250905,0,0.000112899,0,0,2.26E-05,0,0,0,0,0,0,0
GutSample77,0.003747962,0.001446692,0.0005795,0,8.91E-06,0.000261182,0,0.000576459,0,0,0,0,0,0,0,0
GutSample78,0.144390609,0,0.00648945,0,0.000956673,0.003618689,0,0,0,0,0,0,0,0,0,0
GutSample79,0,0.000255709,0,4.10E-05,0,1.31E-05,0,0,0,0,0,0,0,0,0,0
GutSample80,0.001012598,0.052754538,0.05471907,0.002550387,0.001351739,0.000165138,3.22E-05,0.008740347,0.002192781,0.000205709,0,0,0,0,0,0
GutSample81,0,0,0.060662349,0,0,0,0,0,0,0.000294515,0,0,0,0,0,0
GutSample82,0.07980488,0.111028182,0.044391285,0.000334754,0.000116006,0.001434211,0,0.000139795,0.005265603,0.000139865,0,0,0,0,0,0
GutSample83,0,0,0.003427428,4.00E-05,4.85E-05,0.000397086,0,0,0,0,0,0,0,0,0,0
GutSample84,0,0.00111163,4.33E-05,6.88E-05,0,0,0,0,3.78E-05,0,0,0,0,0,0,0
GutSample85,0.000178825,0.004734524,0.00106129,0.002474675,0.000259276,0.00073098,0,0.004676375,0.031300914,0.000355319,0,2.04E-05,0,0,0,0.000645758
