rxn,LB,UB
HMR_4623,0.0,4.281282835143464
HMR_4625,0.0,4.281282835143464
HMR_4710,-3.212940561991104,3.212940561991104
HMR_4841,-1.3278816525286612,1.3278816525286612
HMR_8074,0.0,3.1840115271426095
HMR_8653,-4.281282835143464,4.281282835143464
HMR_3998,0.0,4.684680315251535
HMR_4000,0.0,4.026957547188902
HMR_4002,-5.2301857103571106,5.2301857103571106
HMR_4004,-5.2301857103571106,5.2301857103571106
HMR_4010,0.0,4.659522227535326
HMR_4081,0.0,4.659522227535326
HMR_4082,0.0,4.659522227535326
HMR_4012,0.0,3.905691044810602
HMR_4014,0.0,4.5443422095196695
HMR_4020,-3.570812440639669,3.570812440639669
HMR_4022,0.0,4.026957547188902
HMR_4038,-2.5983143721500648,2.5983143721500648
HMR_4040,0.0,3.805070661261089
HMR_4046,0.0,2.3284334179793027
HMR_4048,0.0,4.5443422095196695
HMR_4080,0.0,2.4608656758766863
HMR_4085,-3.872309084267789,3.872309084267789
HMR_4086,-3.872309084267789,3.872309084267789
HMR_4134,0.0,4.684680315251535
HMR_4135,-3.570812440639669,3.570812440639669
HMR_4168,0.0,2.8041243920060164
HMR_4171,0.0,2.8263293388647766
HMR_4290,0.0,2.715786763244608
HMR_4406,0.0,1.7149144753581822
HMR_4412,-2.9759115391938793,2.9759115391938793
HMR_4417,0.0,4.659522227535326
HMR_4418,-2.8088371137646275,2.8088371137646275
HMR_4419,0.0,3.332466732934668
HMR_4421,0.0,2.8263293388647766
HMR_4449,0.0,4.659522227535326
HMR_4450,0.0,4.659522227535326
HMR_4452,-2.8088371137646275,2.8088371137646275
HMR_4453,0.0,2.3284334179793027
HMR_4480,-6.166312355096001,6.166312355096001
HMR_4481,0.0,2.7781389847468922
HMR_4482,0.0,2.7781389847468922
HMR_4486,0.0,2.937553952726862
HMR_4487,0.0,2.937553952726862
HMR_4488,0.0,2.937553952726862
HMR_4489,0.0,2.937553952726862
HMR_4492,0.0,2.937553952726862
HMR_4493,0.0,2.937553952726862
HMR_4495,0.0,2.937553952726862
HMR_4496,0.0,2.937553952726862
HMR_4518,0.0,3.632453668894912
HMR_4519,0.0,4.221120227891661
HMR_4520,0.0,4.221120227891661
HMR_4573,0.0,2.8263293388647766
HMR_4574,-2.92643834068118,2.92643834068118
HMR_4600,0.0,3.0801452944048577
HMR_4602,0.0,4.659522227535326
HMR_4603,-3.9209577289081383,3.9209577289081383
HMR_4611,0.0,1.3054526218055795
HMR_4632,0.0,4.659522227535326
HMR_4646,0.0,4.221120227891661
HMR_4648,0.0,4.221120227891661
HMR_4649,0.0,4.221120227891661
HMR_4650,0.0,4.221120227891661
HMR_4651,-2.92643834068118,2.92643834068118
HMR_4663,-2.92643834068118,2.92643834068118
HMR_4664,0.0,2.8088371137646275
HMR_4694,0.0,2.7781389847468922
HMR_4695,-3.9209577289081383,3.9209577289081383
HMR_4705,0.0,4.659522227535326
HMR_4709,-3.9209577289081383,3.9209577289081383
HMR_4804,-3.3437281077455134,3.3437281077455134
HMR_4808,0.0,1.8501839941739227
HMR_4810,0.0,3.3437281077455134
HMR_4812,-2.9759115391938793,2.9759115391938793
HMR_4814,-2.5983143721500648,2.5983143721500648
HMR_5301,0.0,3.3898878695404706
HMR_5353,-3.570812440639669,3.570812440639669
HMR_6602,-5.717285427073687,5.717285427073687
HMR_6603,-5.717285427073687,5.717285427073687
HMR_7144,0.0,3.909405683226712
HMR_8755,0.0,4.221120227891661
HMR_4016,-3.6429503988765815,3.6429503988765815
HMR_4018,-3.6429503988765815,3.6429503988765815
HMR_4044,-3.6429503988765815,3.6429503988765815
HMR_4291,-3.6429503988765815,3.6429503988765815
HMR_4420,0.0,3.6429503988765815
HMR_4570,-3.6429503988765815,3.6429503988765815
HMR_4572,0.0,3.6429503988765815
HMR_4006,-3.6429503988765815,3.6429503988765815
HMR_4028,-3.6429503988765815,3.6429503988765815
HMR_4030,-3.6429503988765815,3.6429503988765815
HMR_4670,-3.6429503988765815,3.6429503988765815
HMR_4673,-3.6429503988765815,3.6429503988765815
HMR_4675,0.0,3.6429503988765815
HMR_6614,-3.6429503988765815,3.6429503988765815
HMR_6615,-3.6429503988765815,3.6429503988765815
HMR_6616,-3.6429503988765815,3.6429503988765815
HMR_4635,-3.6429503988765815,3.6429503988765815
HMR_3793,-3.4394867317442905,3.4394867317442905
HMR_3931,0.0,3.904370757518441
HMR_3969,0.0,3.030415018185651
HMR_3970,0.0,4.571515910633652
HMR_4008,-4.811140396002265,4.811140396002265
HMR_4032,0.0,3.088225137647207
HMR_4034,0.0,1.9625747486449547
HMR_4036,0.0,2.390912284752937
HMR_4050,-1.9625747486449547,1.9625747486449547
HMR_4056,0.0,4.659522227535326
HMR_4059,0.0,4.684680315251535
HMR_4060,0.0,4.684680315251535
HMR_4127,0.0,3.83558254652557
HMR_4177,0.0,4.659522227535326
HMR_4179,0.0,4.659522227535326
HMR_4182,0.0,4.195891137045128
HMR_4183,0.0,2.715786763244608
HMR_4192,0.0,2.715786763244608
HMR_4194,0.0,3.088225137647207
HMR_4210,0.0,2.8263293388647766
HMR_4211,0.0,2.8041243920060164
HMR_4343,0.0,2.2876669792151363
HMR_4345,-3.875156261913097,3.875156261913097
HMR_4346,0.0,5.3079145895214
HMR_4470,0.0,3.875156261913097
HMR_4471,0.0,3.875156261913097
HMR_4472,0.0,3.875156261913097
HMR_4484,0.0,4.659522227535326
HMR_4485,-3.9209577289081383,3.9209577289081383
HMR_4510,0.0,4.659522227535326
HMR_4512,-4.811140396002265,4.811140396002265
HMR_4513,0.0,2.2792670482522803
HMR_4514,0.0,3.0609712212106266
HMR_4577,-2.390912284752937,2.390912284752937
HMR_4579,-2.1074276880432183,2.1074276880432183
HMR_4580,0.0,3.0609712212106266
HMR_4608,-1.9625747486449547,1.9625747486449547
HMR_4575,-2.9220575575312755,2.9220575575312755
HMR_4637,-1.9282702336965234,1.9282702336965234
HMR_4642,0.0,2.3664625738176035
HMR_4643,0.0,3.3713665540250575
HMR_4644,-2.129136772343473,2.129136772343473
HMR_4676,0.0,3.3898878695404706
HMR_4736,0.0,5.0430373449712285
HMR_4819,0.0,3.965675481756259
