rxn,LB,UB
HMR_4580,0.0,3.147018265506854
HMR_4608,-1.8768597861198417,1.8768597861198417
HMR_4575,-3.4027237051265224,3.4027237051265224
HMR_4637,-1.2513293127304526,1.2513293127304526
HMR_4642,0.0,1.6758143934880678
HMR_4643,0.0,2.942579194698561
HMR_4644,-1.2409436171968486,1.2409436171968486
HMR_4676,0.0,3.184788960850834
HMR_4736,0.0,5.1037638716936335
HMR_4819,0.0,4.099545292725933
HMR_5299,0.0,3.184788960850834
HMR_5352,0.0,3.184788960850834
HMR_6612,-1.2513293127304526,1.2513293127304526
HMR_6623,0.0,0.9358785125630436
HMR_6624,0.0,2.4733222534656507
HMR_6627,-2.334568629565297,2.334568629565297
HMR_3965,0.0,2.2062655326031613
HMR_3966,0.0,2.387198208117974
HMR_3967,-4.650070304843817,4.650070304843817
HMR_3968,-1.2513293127304526,1.2513293127304526
HMR_3999,0.0,2.205404526439791
HMR_4024,-4.650070304843817,4.650070304843817
HMR_4026,-1.5695137647287367,1.5695137647287367
HMR_4054,0.0,0.9358785125630436
HMR_4061,0.0,2.205404526439791
HMR_4083,0.0,3.9530861651057467
HMR_4136,0.0,7.6408561845918745
HMR_4180,0.0,3.184788960850834
HMR_4185,0.0,4.214027947119907
HMR_4186,0.0,4.214027947119907
HMR_4342,0.0,4.50420337349414
HMR_4483,0.0,2.4733222534656507
HMR_4507,0.0,3.1750722231048507
HMR_4516,0.0,2.1355196870546727
HMR_4601,0.0,2.7470771347977045
HMR_4633,0.0,1.091755769706287
HMR_4640,0.0,1.2513293127304526
HMR_4641,0.0,0.9358785125630436
HMR_4680,-2.156880238781916,2.156880238781916
HMR_6625,0.0,2.4733222534656507
HMR_6626,0.0,1.6758143934880678
HMR_7160,0.0,4.618629023938029
HMR_7161,0.0,4.005952263107344
HMR_7162,0.0,4.005952263107344
HMR_7163,0.0,1.4115813888804742
HMR_7164,0.0,1.4115813888804742
HMR_7713,0.0,4.435503700520908
HMR_7716,0.0,4.435503700520908
HMR_7717,0.0,4.435503700520908
HMR_7721,0.0,4.435503700520908
HMR_7725,0.0,4.435503700520908
HMR_7728,0.0,4.435503700520908
HMR_7801,-4.281861645161762,4.281861645161762
HMR_7863,-4.650070304843817,4.650070304843817
HMR_7864,-4.650070304843817,4.650070304843817
HMR_7865,-4.650070304843817,4.650070304843817
HMR_7866,-4.650070304843817,4.650070304843817
HMR_7867,-4.650070304843817,4.650070304843817
HMR_7868,-4.650070304843817,4.650070304843817
HMR_7869,-4.650070304843817,4.650070304843817
HMR_7870,-4.650070304843817,4.650070304843817
HMR_7871,-4.650070304843817,4.650070304843817
HMR_7872,-4.650070304843817,4.650070304843817
HMR_7873,-4.650070304843817,4.650070304843817
HMR_7874,-4.650070304843817,4.650070304843817
HMR_7875,-1.5695137647287367,1.5695137647287367
HMR_7876,-4.650070304843817,4.650070304843817
HMR_7878,-3.2357672642558892,3.2357672642558892
HMR_7879,0.0,2.387198208117974
HMR_7880,0.0,1.6758143934880678
